OBJECTID,NUMERO,NOM_LIEU,ADRESSE,ARRONDISSEMENT,HORAIRES,ANNEE,geo_shape,geo_point_2d
4,36,Square Saint-Laurent,119 rue du Faubourg-Saint-Martin,75010,de 9h a 17h,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.358303355902784, 48.874462136619755]}",48.8744621366, 2.3583033559
9,153,Square Richard-Lenoir,54 boulevard Richard-Lenoir,75011,de 8h a 17h30 en semaine et de 9h a 17h30 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.372006905184562, 48.85930029001988]}",48.85930029, 2.37200690518
10,51,Jardin de la Fondation-Eugene-Napoleon,2 rue de Picpus,75012,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.3920332280933, 48.84865550288649]}",48.8486555029, 2.39203322809
26,57,Parc Kellermann,19 rue de la Poterne-des-Peupliers,75013,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.353819451129381, 48.8183103994081]}",48.8183103994, 2.35381945113
35,64,Parc Montsouris - Parc a sapins 3,Rue de la Cite-Universitaire,75014,de 7h a 17h45,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.3410044281128553, 48.82032539826986]}",48.8203253983, 2.34100442811
38,70,Square du Cardinal-Wyszynski,54 rue Vercingetorix,75014,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.3171170132642622, 48.83640589044811]}",48.8364058904, 2.31711701326
51,80,Square Alleray-Procession,79 rue d'Alleray,75015,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.3082035834295382, 48.83678908416358]}",48.8367890842, 2.30820358343
53,85,Square de l'Ancien-Hopital-Boucicaut,7 ,allee Isadora-Duncan,75015,de 8h a 17h en semaine et de 9h30 a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.284002376809328, 48.84202065172532]}",48.8420206517, 2.28400237681
54,75,Square du Docteur-Calmette,35 avenue Albert-Bartholome,75015,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.297683622667444, 48.82846635575543]}",48.8284663558, 2.29768362267
56,83,Square Garibaldi,141 boulevard de Grenelle,75015,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.30182231561621, 48.84842880335545]}",48.8484288034, 2.30182231562
65,103,Jardins de l'Avenue Foch - parc a sapins 1,71 avenue Foch,75116,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.2794595172318513, 48.87209340623379]}",48.8720934062, 2.27945951723
67,105,Jardins de l'Avenue Foch - parc a sapins 3,31 avenue Foch,75116,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.286180335762079, 48.87291678238228]}",48.8729167824, 2.28618033576
68,106,Jardins de l'Avenue Foch - parc a sapins 4,1 avenue Foch,75116,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.291114419315189, 48.87334240749528]}",48.8733424075, 2.29111441932
70,100,Jardins du Ranelagh - parc a sapins 2,1 avenue Raphael,75116,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.268606108348254, 48.85989757563791]}",48.8598975756, 2.26860610835
71,96,Jardins du Trocadero,Avenue des Nations-Unies,75116,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.289298138984441, 48.860141336572035]}",48.8601413366, 2.28929813898
76,109,Jardin Andre-Ulmann,29 boulevard de Reims,75017,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.298606281942328, 48.88951436753986]}",48.8895143675, 2.29860628194
82,107,Square Jacques-Audiberti,25 avenue de la Porte-de-Villiers,75017,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.284737735658604, 48.88492801621748]}",48.8849280162, 2.28473773566
90,120,Square de la Madone,30 rue Marc-Seguin,75018,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.36146225121156, 48.89243508345938]}",48.8924350835, 2.36146225121
91,119,Square du 122 rue des Poissonniers,122 rue des Poissonniers,75018,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.353660213613843, 48.89490360919839]}",48.8949036092, 2.35366021361
97,134,Jardin Rebeval,13 rue Rebeval,75019,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.377236434819178, 48.87439394122352]}",48.8743939412, 2.37723643482
106,137,Square de la Place-de-Bitche,1 place de Bitche,75019,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.37931438816203, 48.889045986404874]}",48.8890459864, 2.37931438816
113,147,Jardin Naturel - Pierre-Emmanuel,114 rue de la Reunion,75020,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.398838701407406, 48.85856478253902]}",48.8585647825, 2.39883870141
116,148,Square Casque-d'Or,12 rue Michel-de-Bourges,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.401019547053444, 48.85427722685914]}",48.8542772269, 2.40101954705
135,14,Square Saint-Medard,32 rue Censier,75005,de 9h30 a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.350823480637615, 48.83984982123008]}",48.8398498212, 2.35082348064
137,17,Square Gabriel-Pierne,9 rue de Seine,75006,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.336600722580966, 48.85696716814078]}",48.8569671681, 2.33660072258
138,16,Square Laurent-Prache,15 rue de l'Abbaye,75006,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.33370403253162, 48.85436498525135]}",48.8543649853, 2.33370403253
